word1,word2,num_paths,word_count_wiwj,degree_wiwj,degree_centrality_wiwj,closeness_centrality_wiwj,betweenness_wiwj,betweenness_centrality_wiwj,eigenvector_centrality_wiwj,clustering_coefficient_wiwj,preferential_attachment,shortest_path_length,word_count_i,degree_i,degree_centrality_i,closeness_centrality_i,betweenness_i,betweenness_centrality_i,eigenvector_centrality_i,clustering_coefficient_i,word_count_j,degree_j,degree_centrality_j,closeness_centrality_j,betweenness_j,betweenness_centrality_j,eigenvector_centrality_j,clustering_coefficient_j
植物,绘画材料,376046,82,114,0.003029015,0.20171292,0,0,0.019333441,0.046365915,114,2,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915,1,2,0.010309278,0.377431907,0,0,0.050820225,1
中性笔,绘画材料,216473,82,106,0.002816452,0.191680078,0,0,0.014610401,0.029027576,106,1,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,1,2,0.010309278,0.377431907,0,0,0.050820225,1
暴雨,绘画材料,216473,82,92,0.002444468,0.190681744,0,0,0.017094708,0.0647343,92,1,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343,1,2,0.010309278,0.377431907,0,0,0.050820225,1
绘画材料,足球,427918,82,100,0.002657031,0.185842106,0,0,0.015073544,0.04,100,2,1,2,0.010309278,0.377431907,0,0,0.050820225,1,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
绘画材料,草,289059,11,14,0.000371984,0.147624576,0,0,0.005062776,0.476190476,14,3,1,2,0.010309278,0.377431907,0,0,0.050820225,1,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
绘画材料,足球场,301520,9,20,0.000531406,0.1485229,0,0,0.005426084,0.244444444,20,3,1,2,0.010309278,0.377431907,0,0,0.050820225,1,9,10,0.051546392,0.393509128,132.0548191,0.007053834,0.106770164,0.244444444
简笔画,绘画材料,110361,1,6,0.000159422,0.144137382,0,0,0.003024705,0.333333333,6,2,1,3,0.015463918,0.381889764,10.88954138,0.000581675,0.059517737,0.333333333,1,2,0.010309278,0.377431907,0,0,0.050820225,1
大自然,植物,415859,328,285,0.007572537,0.200542439,207502.3937,0.000592059,0.029696782,0.023182957,285,1,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915
中性笔,大自然,717606,328,265,0.007041131,0.190567815,214802.8994,0.000612889,0.022442041,0.014513788,265,2,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5
大自然,暴雨,382137,328,230,0.00611117,0.189575274,133319.0963,0.000380395,0.026258016,0.03236715,230,1,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343
大自然,足球,736082,328,250,0.006642576,0.184763719,170423.7859,0.000486264,0.023153444,0.02,250,2,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
大自然,草,417279,44,35,0.000929961,0.146767954,1351.904674,3.85734E-06,0.007776586,0.238095238,35,2,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
大自然,足球场,467631,36,50,0.001328515,0.147661065,4667.819759,1.33185E-05,0.008334637,0.122222222,50,2,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,9,10,0.051546392,0.393509128,132.0548191,0.007053834,0.106770164,0.244444444
大自然,简笔画,230073,4,15,0.000398555,0.143300995,384.9190567,1.09828E-06,0.004646043,0.166666667,15,2,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,1,3,0.015463918,0.381889764,10.88954138,0.000581675,0.059517737,0.333333333
大自然,绘画材料,168705,4,10,0.000265703,0.14162822,0,0,0.003967102,0.5,10,2,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,1,2,0.010309278,0.377431907,0,0,0.050820225,1
植物,纤维材料,214425,82,114,0.003029015,0.203694383,0,0,0.020980957,0.046365915,114,1,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915,1,2,0.010309278,0.381139489,0,0,0.055150914,1
中性笔,纤维材料,408911,82,106,0.002816452,0.193562987,0,0,0.015855439,0.029027576,106,2,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,1,2,0.010309278,0.381139489,0,0,0.055150914,1
暴雨,纤维材料,396443,82,92,0.002444468,0.192554846,0,0,0.018551448,0.0647343,92,2,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343,1,2,0.010309278,0.381139489,0,0,0.055150914,1
纤维材料,足球,214425,82,100,0.002657031,0.187667667,0,0,0.01635805,0.04,100,1,1,2,0.010309278,0.381139489,0,0,0.055150914,1,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
纤维材料,草,215619,11,14,0.000371984,0.14907472,0,0,0.005494205,0.476190476,14,2,1,2,0.010309278,0.381139489,0,0,0.055150914,1,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
纤维材料,足球场,232977,9,20,0.000531406,0.149981868,0,0,0.005888472,0.244444444,20,2,1,2,0.010309278,0.381139489,0,0,0.055150914,1,9,10,0.051546392,0.393509128,132.0548191,0.007053834,0.106770164,0.244444444
简笔画,纤维材料,159406,1,6,0.000159422,0.145553269,0,0,0.003282458,0.333333333,6,3,1,3,0.015463918,0.381889764,10.88954138,0.000581675,0.059517737,0.333333333,1,2,0.010309278,0.381139489,0,0,0.055150914,1
纤维材料,绘画材料,130132,1,4,0.000106281,0.143854204,0,0,0.002802782,1,4,3,1,2,0.010309278,0.381139489,0,0,0.055150914,1,1,2,0.010309278,0.377431907,0,0,0.050820225,1
大自然,纤维材料,181067,4,10,0.000265703,0.14301946,0,0,0.004305162,0.5,10,2,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,1,2,0.010309278,0.381139489,0,0,0.055150914,1
文具店,植物,749319,164,228,0.00605803,0.201321244,177823.4482,0.000507377,0.024795181,0.023182957,228,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915
中性笔,文具店,430669,164,212,0.005632905,0.191307884,184079.7668,0.000525228,0.018737871,0.014513788,212,1,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5
文具店,暴雨,784808,164,184,0.004888936,0.190311489,114250.5443,0.000325987,0.021924,0.03236715,184,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343
